Company Name,Full Name,Email,Phone,Industry,Status,Notes
Meridian Business Support,C. Haslam,chaslam@meridianbs.co.uk,0161 830 8870,Recruitment,HOT,Manchester. Score: 9. Personal email, large agency.
Aspire Recruitment,,info@aspirerecruitment.org.uk,0161 245 4942,Recruitment,WARM,Manchester. Score: 7. General inbox.
KPI Recruiting,,Manchester@kpir.co.uk,0161 527 5080,Recruitment,COLD,Manchester. Score: 6. City-specific inbox.
Search Consultancy,,manchester@search.co.uk,0161 835 8600,Recruitment,WARM,Manchester. Score: 7. Major player.
The Recruitment Co,,manchesterindustrial@therecruitmentco.uk,0161 209 1198,Recruitment,COLD,Manchester. Score: 5. Industrial emails might be wrong dept.
Robert Walters,,manchester@robertwalters.com,0161 214 7400,Recruitment,WARM,Manchester. Score: 8. Premium global brand.
Blue Arrow,,manchester.catering@bluearrow.co.uk,0161 228 3590,Recruitment,COLD,Manchester. Score: 6. Catering specific.
BHHS London Properties,,careers@bhhslondon.com,,Estate Agency,WARM,London. Score: 7. High-end property.
Prospect Homes,,careers@prospecthomesofdistinction.co.uk,,Estate Agency,COLD,London. Score: 6. Homes of Distinction.
Charles Stanley,Alistair King,alistair.king@charles-stanley.co.uk,,Wealth Management,HOT,London. Score: 10. Direct personal email.
Charles Stanley,Alex Webb-Bowen,alex.webb-bowen@charles-stanley.co.uk,,Wealth Management,HOT,London. Score: 10. Direct personal email.
BlackRock,Montell Ince,montell.ince@blackrock.com,,Finance,HOT,London. Score: 9. Corporate contact.
First Wealth,,hello@firstwealth.co.uk,020 7467 2700,Wealth Management,WARM,London. Score: 8. Hello addresses often monitored.
Menzies Wealth Management,,advice@menzieswm.co.uk,020 7387 5868,Wealth Management,WARM,London. Score: 7. Advice inbox.
Triple Point,,contact@triplepoint.co.uk,020 7201 8989,Investment,WARM,London. Score: 7. Investment focus.
Killik & Co,,info@killik.com,020 7337 0777,Wealth Management,WARM,London. Score: 7. High street premium brand.
Wealthtime,Gareth Stickland,gareth.stickland@wealthtime.com,,Wealth Management,HOT,London. Score: 9. Regional Sales Manager.
Kelly Hoppen Interiors,,newprojects@kellyhoppen.co.uk,,Interior Design,HOT,London. Score: 9. New Projects inbox.
David Collins Studio,,newbusiness@davidcollins.studio,,Interior Design,HOT,London. Score: 9. New Business inbox.
Katharine Pooley,,projects@katharinepooley.com,,Interior Design,WARM,London. Score: 8. Project-specific inbox.
Elicyon,,studio@elicyon.com,,Interior Design,WARM,London. Score: 7. General studio inbox.
Nina Campbell Design,,design@ninacampbell.com,,Interior Design,WARM,London. Score: 7. Design team.
Taylor Howes,,admin@taylorhowes.co.uk,,Interior Design,COLD,London. Score: 6. Admin inbox.
Accouter Design,,interiors@accouterdesign.com,,Interior Design,WARM,London. Score: 8. Interiors specific.
Studio Ashby,,workwithus@studioashby.com,,Interior Design,COLD,London. Score: 6. Work with us inbox.
Les Ambassadeurs Club,,lesamembershipcommittee@lesaclub.com,020 7495 5555,Casino,HOT,London (Mayfair). Score: 9. Membership committee.
Wynn Mayfair,,enquiries@wynnmayfair.com,,Casino,WARM,London (Mayfair). Score: 8. High-end rebranding.
The Hippodrome Casino,,info@hippodromecasino.com,020 7769 8888,Casino,WARM,London. Score: 7. High footfall.
The Clermont Club,,membership@clermontclub.com,,Casino,WARM,London (Mayfair). Score: 8. Membership team.
The Ritz London,,enquire@theritzlondon.com,020 7493 8181,Hospitality,WARM,London. Score: 7. Iconic venue.
Prestige Men's Grooming,,info@prestigemensgrooming.com,020 7223 9301,Barbers,WARM,London. Score: 8. Prestige aligns with premium.
The Refinery Mayfair,,info@the-refinery.com,020 7409 2001,Barbers,HOT,London (Mayfair). Score: 9. Ultra-premium location.
Pall Mall Barbers,,info@pallmallbarbers.com,020 7930 7787,Barbers,WARM,London. Score: 8. Chain with high footfall.
ETM Group (Sport London),,info@etmgroup.co.uk,020 7256 9422,Hospitality,HOT,London. Score: 9. Owns premium sports bars.
H&R Construction,,info@hr-construction.co.uk,,Construction,COLD,UK. Score: 6. General inbox.
Stonegate Group,,stonegateenquiries@stonegategroup.co.uk,0333 320 0036,Hospitality,COLD,UK. Score: 6. Huge chain.
Star Pubs (Heineken),,enquiries@starpubs.co.uk,0345 878 7076,Hospitality,COLD,UK. Score: 5. Tenant focused.
